2025-01-11 21:42:55,196 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653375195, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,368 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653375365, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,374 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653375371, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,379 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653375377, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,383 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653375382, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,387 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653375386, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,577 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653375575, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,586 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653375583, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,599 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653375596, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,605 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653375603, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,610 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653375607, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:59,718 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653379716, Type: banner, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:59,723 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653379721, Type: popup, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:59,735 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653379733, Type: notification, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:59,755 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653379739, Type: adslot, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:59,768 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653379764, Type: invisible, Source: main, Component: scam, Site: 5001
2025-01-11 21:43:01,889 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653381887, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:01,900 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653381898, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:01,906 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653381904, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:01,911 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653381909, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:01,913 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653381912, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:02,925 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653382922, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:02,944 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653382927, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:02,953 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653382951, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:02,956 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653382955, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:02,958 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653382958, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,216 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653383215, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,237 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653383220, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,245 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653383244, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,248 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653383247, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,251 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653383250, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,354 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653383353, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,374 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653383358, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,379 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653383377, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,384 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653383382, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,386 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653383385, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,518 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653383517, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,523 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653383521, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,541 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653383540, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:03,549 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653383548, Type: adslot, Source: main, Component: scam, Site: 5002
