2025-01-21 15:03:56,221 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500636219, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,231 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500636228, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,234 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500636233, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,391 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500636386, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,402 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500636397, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,412 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500636408, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,421 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500636416, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,426 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500636424, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,374 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500655368, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,381 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500655380, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,390 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500655386, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,399 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500655395, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,402 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500655400, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,895 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500655892, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,905 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500655902, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,917 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500655912, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,924 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500655922, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:15,929 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500655927, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:16,466 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500656464, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:16,479 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500656474, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:16,487 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500656485, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:16,495 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500656492, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:16,498 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500656497, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:39,420 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500679415, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:39,429 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500679426, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:04:39,440 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500679437, Type: notification, Source: benign, Component: scam, Site: 5001
